study_time,attendance,gender,score
7,50,Male,63
2,57,Female,29
4,92,Female,45
7,83,Male,57
2,62,Male,24
5,66,Male,40
4,72,Male,47
2,54,Female,37
2,90,Female,48
3,98,Male,47
7,97,Male,80
1,96,Female,42
3,82,Female,43
3,58,Female,32
4,93,Male,51
1,86,Male,22
2,71,Male,28
10,82,Male,77
6,61,Female,56
7,64,Male,59
8,89,Female,64
6,98,Female,62
3,54,Female,31
5,82,Male,47
2,89,Male,30
1,61,Female,19
2,75,Male,31
4,82,Male,41
9,82,Male,69
6,56,Female,46
8,99,Female,82
7,52,Female,49
4,93,Male,53
2,80,Male,37
10,69,Male,76
6,93,Male,69
5,66,Male,49
2,82,Female,36
7,58,Female,58
9,55,Female,77
2,64,Female,23
9,71,Male,69
9,66,Male,65
5,85,Male,59
8,89,Female,79
4,72,Male,51
10,81,Female,79
10,69,Male,82
6,64,Male,54
10,54,Female,75
4,56,Male,30
1,80,Female,30
10,79,Female,81
1,66,Female,32
7,92,Female,71
3,67,Female,46
6,79,Male,56
1,57,Female,31
7,81,Female,63
6,60,Male,54
7,87,Male,65
8,54,Female,67
9,99,Female,92
5,60,Male,50
1,100,Male,43
6,97,Male,61
6,70,Female,63
2,54,Male,23
10,96,Female,79
2,51,Male,26
2,82,Female,40
10,82,Male,92
10,87,Male,78
8,69,Female,74
2,76,Female,32
9,93,Female,85
7,89,Male,69
3,55,Male,38
3,87,Female,40
8,56,Male,72
1,55,Male,13
5,71,Male,43
5,67,Female,48
4,83,Male,41
3,78,Male,47
1,77,Male,20
8,99,Female,71
1,67,Male,29
1,66,Female,27
9,91,Male,79
8,84,Female,79
3,93,Male,41
9,57,Male,74
7,96,Female,70
10,50,Female,70
1,75,Female,33
10,67,Male,83
6,65,Female,46
6,89,Female,70
2,92,Male,31
6,85,Male,69
2,91,Female,48
6,62,Female,58
5,95,Male,63
3,61,Female,33
1,73,Male,33
9,90,Male,73
1,95,Male,27
7,70,Female,67
5,58,Female,49
5,56,Female,40
7,87,Female,73
5,54,Male,53
4,92,Male,49
3,69,Male,44
5,66,Female,58
9,82,Male,68
7,93,Male,64
10,96,Male,89
5,99,Female,57
3,57,Female,26
9,87,Female,85
6,56,Male,51
9,57,Female,63
8,55,Male,66
9,52,Female,59
7,71,Male,72
9,87,Female,72
1,83,Male,28
6,93,Male,63
9,67,Male,73
4,88,Male,48
5,60,Female,45
9,99,Female,78
3,83,Male,51
4,91,Male,55
6,59,Male,56
2,73,Female,25
5,50,Female,39
4,68,Male,42
6,50,Male,50
1,82,Male,25
5,52,Male,41
5,86,Female,55
10,70,Male,84
8,58,Female,74
1,100,Male,45
2,95,Male,40
8,90,Male,67
1,77,Male,38
7,66,Female,56
7,56,Female,53
5,66,Female,54
10,55,Female,78
2,83,Female,31
1,64,Female,30
1,89,Female,26
1,51,Female,19
4,90,Male,53
6,75,Male,51
5,60,Male,38
9,62,Female,78
9,91,Female,86
4,57,Female,36
8,86,Female,67
9,63,Female,71
7,51,Male,51
7,72,Female,67
1,99,Female,41
6,62,Male,61
1,72,Female,28
6,100,Male,64
6,65,Male,48
10,90,Male,83
1,66,Female,17
7,97,Female,62
6,51,Female,50
10,51,Male,65
8,60,Female,62
1,94,Female,27
8,69,Female,71
5,83,Male,45
9,64,Male,68
8,81,Male,79
7,91,Female,72
2,96,Male,36
6,98,Male,56
5,89,Female,64
10,96,Female,86
1,89,Female,23
4,75,Male,42
1,63,Male,33
8,60,Female,75
2,82,Female,31
6,74,Male,61
3,95,Male,41
3,64,Female,33
8,54,Male,54
10,70,Male,76
6,50,Female,49
5,76,Female,48
10,93,Female,88
8,77,Female,75
1,79,Female,22
3,79,Female,33
5,80,Female,52
4,91,Female,59
9,76,Male,78
9,63,Male,73
8,90,Female,69
8,67,Female,61
8,97,Female,80
1,83,Male,37
7,68,Female,52
9,96,Male,80
6,77,Female,56
3,63,Female,30
4,55,Female,39
1,53,Male,30
5,87,Male,61
4,61,Female,48
6,94,Female,59
3,98,Male,38
6,97,Male,62
1,97,Male,43
10,60,Male,77
7,94,Female,78
2,56,Female,25
5,62,Male,47
7,82,Male,76
7,55,Female,51
6,76,Male,52
2,93,Female,35
2,65,Female,37
10,98,Male,98
8,95,Female,69
7,69,Male,69
7,76,Female,58
9,74,Male,67
8,67,Female,66
1,75,Female,32
3,94,Male,40
1,72,Male,31
10,89,Male,83
4,60,Male,49
1,59,Female,27
4,97,Female,52
4,80,Female,52
4,86,Female,54
8,68,Female,58
5,92,Female,58
8,60,Female,67
7,57,Female,64
9,59,Female,65
8,52,Male,53
4,95,Male,50
6,77,Male,58
7,65,Male,58
3,56,Male,38
5,71,Female,48
7,71,Male,67
7,64,Male,54
1,52,Female,18
7,65,Male,58
2,79,Male,44
4,57,Female,39
8,78,Male,80
2,73,Male,29
6,66,Female,55
4,64,Female,48
9,79,Male,67
1,69,Male,34
1,51,Male,18
4,64,Male,42
6,90,Female,65
10,55,Male,69
6,79,Male,64
2,79,Female,35
6,53,Female,55
7,89,Male,60
5,54,Male,39
2,98,Male,37
